Date,OT,Lat,Long,Depth,Mag,Location&Remark
01-01-2008,19-01-44.4,-8.20,108.80,40,2.6,S-Tasikmalaya
01-02-2008,01-34-24.9,-8.13,111.50,40,4.4,TG-Pacitan
01-06-2008,08-54-56.7,-9.50,107.40,33,5.4,BD-Cilacap
01-07-2008,07-51-04.7,-10.07,108.51,33,6.0,S-Cilacap
01-08-2008,23-03-59.5,-5.92,113.95,550,5.0,Pekalongan
10-01-2008,07-55-12.5,-7.12,109.92,20,2.1,Dieng
16-01-2008,06-34-55.5,-9.51,108.71,100,3.7,Samudra-Hindia
17-01-2008,22-15-34.5,-7.86,110.54,10,2.9,Bantul-DIY
24-01-2008,23-10-24.0,-9.61,110.04,100,3.4,Samudra-Hindia
27-01-2008,12-48-03.0,-8.99,110.72,33,5.0,Wonosari-DIY
30-01-2008,00-51-18.5,-7.91,111.12,10,3.3,Wonogiri
03-02-2008,10-55-37.1,-8.82,111.48,33,5.4,BD-Blitar
04-02-2008,08-39-14.6,-10.32,110.28,33,5.1,S-Yogyakarta
08-02-2008,03-42-15.0,-9.88,108.67,33,4.9,Pangandaran
10-02-2008,10-04-25.1,-7.82,110.37,33,3.4,Bantul-DIY
16-02-2008,00-27-04.8,-8.87,108.65,33,4.1,Pangandaran
17-02-2008,18-32-12.0,-9.93,111.04,33,4.5,BD-Pacitan
17-02-2008,19-32-23.2,-8.09,109.02,33,3.7,BD-Cilacap
21-02-2008,20-02-20.1,-10.34,110.07,33,2.3,S-Yogyakarta
25-02-2008,02-8-15.0,-9.92,108.79,33,4.3,Pangandaran
26-02-2008,02-49-39.3,-8.96,110.32,33,4.6,S-Yogyakarta
28-02-2008,17-37-46.1,-8.49,109.53,33,2.3,S-Kebumen
03-03-2008,13-55-11.3,-7.04,111.85,33,4.3,Rembang
03-03-2008,14-15-36.5,-11.76,110.05,33,6.1,Samudra-Hindia
09-03-2008,07-44-02.0,-11.00,109.47,33,5.2,S-Kebumen
11-03-2008,00-58-31.0,-8.86,109.12,33,3.7,S-Cilacap
16-03-2008,22-29-06.5,-9.93,108.85,33,4.4,S-Pangandaran
17-03-2008,04-36-04.9,-9.67,108.74,33,4.6,S-Pangandaran
26-03-2008,18-53-21.6,-8.13,109.90,10,2.8,BD-Yogyakarta
31-03-2008,12-23-16.4,-8.66,110.13,10,2.2,TG-Yogyakarta
31-03-2008,13-51-12.7,-11.19,110.81,30,4.2,TG-Blitar
10-04-2008,06-17-27.3,-11.02,109.47,40,5.1,S-Kebumen
11-04-2008,12-37-15.3,-7.22,109.68,30,1.5,Banjarnegara
12-04-2008,00-39-39.3,-10.73,110.30,33,3.9,S-Wates-DIY
28-04-2008,18-42-51.0,-9.19,111.40,20,4.8,TG-Yogyakarta
04-05-2008,19-47-00.8,-9.98,109.72,20,4.5,S-Kebumen
05-05-2008,22-39-30.9,-8.80,109.28,33,3.3,TG-Cilacap
11-05-2008,16-56-46.8,-8.80,111.48,50,4.4,S-Pacitan
12-05-2008,11-17-55.6,-9.31,109.10,33,4.1,S-Cilacap
13-05-2008,21-53-55.0,-7.60,110.10,10,2.8,S-Yogyakarta
14-05-2008,13-58-24.5,-7.73,108.22,20,3.0,S-Cilacap
14-05-2008,18-47-41.1,-8.03,108.96,33,3.5,S-Cilacap
15-05-2008,02-26-51.0,-9.06,109.70,33,3.5,S-Kebumen
17-05-2008,17-15-40.7,-8.32,110.05,33,3.5,S-Purworejo
21-05-2008,13-45-14.3,-6.86,109.93,33,4.4,Kendal
21-05-2008,20-45-43.0,-6.90,109.97,33,4.7,Kendal
