TAHUN,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
2006,695.1668,745.1813,314.0228,425.6483,290.99475,180.03748,223.40723,361.96826,453.93896,374.27887,669.33215,548.0268
2007,695.1668,745.1813,435.35916,405.8199,309.2246,299.76465,178.14148,406.3867,568.75006,700.4127,537.9007,280.05075
2008,315.26883,189.99564,375.3093,640.5637,431.95413,271.13965,287.5614,246.60904,630.3067,584.2681,777.7669,420.1136
2009,139.12698,110.323044,229.82443,406.65723,232.52798,181.65025,206.27162,327.02258,461.6644,487.29587,566.3643,266.16434
2010,189.14201,140.40941,370.0364,597.6766,651.0232,232.03062,262.12814,426.76083,220.9274,781.2302,657.474,389.0485
2011,108.10985,82.09406,253.82745,408.2097,290.35822,173.82802,257.65887,259.5348,450.14075,544.8156,605.34503,275.26666
2012,186.21088,57.399357,261.15466,447.35498,295.73862,245.0358,315.13483,193.80894,384.6414,306.66443,632.35443,646.3722
2013,120.754944,50.71693,174.4362,284.1725,277.22745,263.55432,236.44194,219.72565,276.51932,475.1752,674.7516,560.7642
2014,236.7481,300.51862,325.4176,374.94583,427.37177,253.10994,200.30814,375.1826,350.68552,479.7856,597.1055,389.0485
2015,402.3291,402.62964,383.81497,355.4605,302.22836,201.37505,135.05782,393.15518,390.35422,529.8412,515.35443,369.50278
2016,241.84358,57.97698,81.26377,247.97516,448.58423,160.21393,298.00925,240.97412,204.83902,383.52875,453.11407,857.9676
2017,79.032394,63.01402,111.72225,162.13551,371.33124,351.0979,203.1921,162.5208,174.00206,255.48143,764.74005,670.89154
2018,71.65596,123.1456,284.59476,387.20526,575.6964,173.83783,276.4054,189.8512,267.5692,389.20035,490.53253,524.4458
