Station,T.Max,T.Min,T.Med,(C),(%),Wind Dir.,Wind Int.,Press.,Prec.,TotCl,Low,Sun,Vis
Sabang / Cut Bau,32.4,25.8,28.1,22.8,73.2,SW,33.1,1009,0,6.6,3.6,9,8.9
Lhokseumawe/Malik...,31.4,23.4,25.9,23.3,86.2,SW,8.8,1007.5,Tr,7.1,3.4,6.8,6.5
Banda Aceh / Blan...,33.2,24.2,28.1,23.1,75.7,S,8.6,1007.4,2,6.2,3.2,7.4,9.2
Meulaboh / Cut Ny...,28.3,23.1,24.9,24,96.1,SE,3.2,1009.5,35,7.5,4.4,0,5
Belawan,31.2,25.2,27.8,24.6,83.1,W,5.1,1007.6,0,6,2.8,8,6.9
Kualanamu Medan,32,23.9,26.9,24.4,86.9,SE,10.7,1007.1,0.5,6.1,3.6,7.8,8
Sibolga / Pinangs...,30.1,22.4,25,23.3,91.1,W,3,1008.8,34,6.9,3.5,6,5.8
Gunung Sitoli/Bin...,28.4,22.6,25.6,24.3,92.3,WNW,10.7,1009.2,37,6.8,4.4,0.8,5.5
"Batan, Sumatra",27.6,23,25.7,25,95.1,SSW,5.8,1009.6,4,7.9,2.4,0,9.2
Tanjungpinang / K...,26.8,23.5,25,24.3,95.6,WSW,5.8,1008.7,64,6.4,3.4,0,7.4
Pakanbaru / Simpa...,33.4,23.1,26.9,23.5,83.1,S,7.4,1007.1,----,6.4,3,3.3,7.8
Tarempa,34.4,26.4,29.2,25.1,78.8,S,10.9,1007.3,0,5.5,3,7.2,6.1
Ranai / Ranai,30.6,24,27.3,24.5,83.8,WSW,8.2,1007.7,28.9,2.4,---,---,8.1
Mia Padang,30.2,22.2,25.5,24.1,92.8,NNW,6.9,1008.6,61,6.9,2.8,0.4,8.8
Rengat/Japura,31.6,24.2,27.7,24.7,84.2,SSE,3.2,1007.4,0.2,6.5,3.9,5.1,6.6
Singkep / Dabo,29.2,23.7,26.3,25.1,92.8,SSW,6.7,1007.6,64,7.1,3.5,0.6,7.9
Jambi / Sultan Taha,32.2,24.4,27.2,24,83.2,SSE,8.8,1007.7,0.3,6.8,3.2,6,10
Kerinci / Depati ...,29,18.4,23.5,19.8,81.8,SSE,5.1,921.8,0,4.8,2.1,8.6,6.9
Palembang / Talan...,30.4,24.4,26.2,24.4,89.5,SSE,7.9,1008.3,3,6.2,2.2,2.5,7.3
Pangkalpinang / P...,29.2,24.1,26.4,24.3,87.5,SE,9.3,1008,0.3,6.6,2.8,2.4,7.1
Tanjungpandan / B...,27.6,22.9,24.6,23.7,94.6,SE,5.3,1008.7,21.2,7.2,4.5,0,6.8
Bengkulu / Padang...,30.9,22.6,26.9,24.5,87,WNW,7.4,1007.5,Tr,7,3,5.8,8.2
Tanjung Karang/Ra...,31.6,23.3,26.5,23.9,85.6,ENE,6.7,1009,17,7.5,4,2,8.1
Longbawan / Juvai...,-----,-----,-----,-----,71.6,SSE,8.3,905.1,0,7,4.5,6,6.5
Tarakan / Juwata,29.8,25,26.9,25,90.2,NE,3,1008.2,7,6.5,3.5,2,8.6
Tanjung Selor,29.6,24.4,26.2,25,93.6,E,3.2,1008.1,12,5.6,3.1,2.9,5
